Stream,Dist,Proportion_Downstream,W_2019,W_1957,Curve,Curvepos,Slump,Migdist,MR,Mignorm,MRnorm
SC,30,0.006451613,3.27,,0.019721693,0.019721693,0,,,,
SC,60,0.012903226,2.87,1.94,0.00936251,0.00936251,0,1.12,0.018064516,0.577319588,0.006294256
SC,90,0.019354839,2.35,2.26,0.006365773,0.006365773,0,3.44,0.055483871,1.522123894,0.023610158
SC,120,0.025806452,1.85,1.73,0.004486228,0.004486228,0,2.94,0.047419355,1.699421965,0.025632084
SC,150,0.032258065,2.6,1.3,0.003389092,0.003389092,0,2.87,0.046290323,2.207692308,0.01780397
SC,180,0.038709677,3.38,2.32,-0.001327795,0.001327795,0,3.1,0.05,1.336206897,0.014792899
SC,210,0.04516129,3.45,1.83,-0.010374513,0.010374513,2,2.7,0.043548387,1.475409836,0.012622721
SC,240,0.051612903,2.69,1.94,-0.018684851,0.018684851,1,1.37,0.022096774,0.706185567,0.008214414
SC,270,0.058064516,4.72,2.32,-0.012806437,0.012806437,0,3.3,0.053225806,1.422413793,0.011276654
SC,300,0.064516129,4.61,3.04,-0.003769732,0.003769732,1,3.13,0.050483871,1.029605263,0.010950948
SC,330,0.070967742,8.74,5.08,0.003118949,0.003118949,2,0.26,0.004193548,0.051181102,0.000479811
SC,360,0.077419355,4.72,3.07,0.009821856,0.009821856,0,2.56,0.041290323,0.833876221,0.00874795
SC,390,0.083870968,8.23,5.3,0.013323659,0.013323659,1,2.93,0.047258065,0.552830189,0.005742171
SC,420,0.090322581,6.66,3.3,0.005122699,0.005122699,0,2.88,0.046451613,0.872727273,0.006974717
SC,450,0.096774194,6.13,3.91,-0.006111479,0.006111479,0,4.63,0.074677419,1.184143223,0.012182287
SC,480,0.103225806,6.99,3.02,-0.021859458,0.021859458,1,6.67,0.107580645,2.208609272,0.01539065
SC,510,0.109677419,5.01,4.05,-0.016408106,0.016408106,1,3.92,0.063225806,0.967901235,0.012619921
SC,540,0.116129032,5.83,4.49,0.009219937,0.009219937,0,0.95,0.015322581,0.211581292,0.00262823
SC,570,0.122580645,4.48,4.7,0.022085428,0.022085428,0,3.39,0.054677419,0.721276596,0.012204781
SC,600,0.129032258,7.07,4.29,0.009672781,0.009672781,0,4.37,0.070483871,1.018648019,0.00996943
SC,630,0.135483871,5.52,3.27,0.00087211,0.00087211,0,1.48,0.023870968,0.452599388,0.004324451
SC,660,0.141935484,5.53,4.87,-0.003989083,0.003989083,0,6.51,0.105,1.336755647,0.018987342
SC,690,0.148387097,8.65,8.59,-0.011108291,0.011108291,1,5.92,0.095483871,0.689173458,0.011038598
SC,720,0.15483871,9.03,4.34,-0.028750151,0.028750151,2,5.1,0.082258065,1.175115207,0.00910942
SC,750,0.161290323,7.49,4.42,-0.02784901,0.02784901,0,3.88,0.062580645,0.877828054,0.008355226
SC,780,0.167741935,7.53,4.71,-0.009381715,0.009381715,0,5.78,0.093225806,1.227176221,0.012380585
SC,810,0.174193548,7.94,5.09,0.008247025,0.008247025,2,2.77,0.044677419,0.544204322,0.005626879
SC,840,0.180645161,7.02,9.35,0.034256143,0.034256143,2,4.41,0.071129032,0.471657754,0.010132341
SC,870,0.187096774,8.18,4.75,0.024458646,0.024458646,0,1.36,0.021935484,0.286315789,0.002681599
SC,900,0.193548387,7.9,3.64,-0.013703646,0.013703646,1,2.36,0.038064516,0.648351648,0.004818293
SC,930,0.2,9.17,5.01,-0.029048473,0.029048473,0,0.33,0.005322581,0.065868263,0.000580434
SC,960,0.206451613,7.62,6.32,-0.015773295,0.015773295,2,4.98,0.080322581,0.787974684,0.010541021
SC,990,0.212903226,10.47,7.18,-0.006050973,0.006050973,0,2.11,0.034032258,0.293871866,0.003250454
SC,1020,0.219354839,7.51,3.25,-0.001424756,0.001424756,0,4.67,0.075322581,1.436923077,0.010029638
SC,1050,0.225806452,7.75,2.38,0.001119316,0.001119316,0,2.73,0.044032258,1.147058824,0.005681582
SC,1080,0.232258065,5.66,3.42,0.004717887,0.004717887,0,1.87,0.03016129,0.546783626,0.00532885
